cd,class_cat,count_tot,FOL_eng,FOL_fra,in,out
2456,Other,75,1,74,0,75
2456,Scientific and Professional,485,25,460,11,474
2456,Technical,373,7,366,7,366
2457,Administrative Support,1134,133,1001,0,1134
2457,Administrative and Foreign Service,2831,212,2619,0,2831
2457,Executive Group,52,5,47,0,52
2457,Operational,404,34,370,1,403
2457,Other,64,1,63,0,64
2457,Scientific and Professional,505,33,472,0,505
2457,Technical,296,12,284,0,296
2458,Administrative Support,7207,1317,5890,1,7206
2458,Administrative and Foreign Service,14294,2303,11991,341,13953
2458,Executive Group,221,47,174,0,221
2458,Operational,897,122,775,46,851
2458,Other,343,79,264,0,343
2458,Scientific and Professional,3617,609,3008,145,3472
2458,Technical,1061,214,847,4,1057
2459,Administrative Support,562,44,518,0,562
2459,Administrative and Foreign Service,1132,53,1079,1,1131
2459,Executive Group,10,0,10,0,10
2459,Operational,176,1,175,0,176
2459,Other,37,1,36,0,37
2459,Scientific and Professional,245,7,238,1,244
2459,Technical,113,9,104,0,113
2460,Administrative Support,1046,55,991,0,1046
2460,Administrative and Foreign Service,2266,128,2138,0,2266
2460,Executive Group,34,0,34,0,34
2460,Operational,347,8,339,0,347
2460,Other,44,0,44,0,44
2460,Scientific and Professional,469,36,433,0,469
2460,Technical,172,18,154,0,172
2461,Administrative Support,158,6,152,0,158
2461,Administrative and Foreign Service,344,4,340,0,344
2461,Executive Group,2,0,2,0,2
2461,Operational,170,4,166,4,166
2461,Other,19,0,19,0,19
2461,Scientific and Professional,69,0,69,0,69
2461,Technical,32,3,29,0,32
2462,Administrative Support,77,8,69,0,77
2462,Administrative and Foreign Service,151,15,136,0,151
2462,Operational,52,1,51,0,52
2462,Other,7,0,7,0,7
2462,Scientific and Professional,29,7,22,0,29
2462,Technical,15,0,15,0,15
2463,Administrative Support,150,6,144,0,150
2463,Administrative and Foreign Service,231,10,221,0,231
2463,Executive Group,3,0,3,0,3
2463,Operational,184,3,181,0,184
2463,Other,4,0,4,0,4
2463,Scientific and Professional,44,2,42,0,44
2463,Technical,40,3,37,0,40
2464,Administrative Support,1539,110,1429,0,1539
2464,Administrative and Foreign Service,3068,123,2945,0,3068
2464,Executive Group,28,0,28,0,28
2464,Operational,630,22,608,0,630
2464,Other,63,1,62,0,63
2464,Scientific and Professional,520,21,499,0,520
2464,Technical,208,9,199,0,208
2465,Administrative Support,6279,1302,4977,0,6279
2465,Administrative and Foreign Service,12617,2786,9831,161,12456
2465,Executive Group,98,21,77,0,98
2465,Operational,1039,173,866,7,1032
2465,Other,276,52,224,0,276
2465,Scientific and Professional,2802,711,2091,1,2801
2465,Technical,919,172,747,4,915
2466,Administrative Support,33701,8617,25084,869,32832
2466,Administrative and Foreign Service,64461,16625,47836,4540,59921
2466,Executive Group,593,208,385,50,543
2466,Operational,3701,766,2935,74,3627
2466,Other,2070,691,1379,202,1868
2466,Scientific and Professional,21694,7174,14520,555,21139
2466,Technical,4960,1397,3563,433,4527
2467,Administrative Support,2035,463,1572,0,2035
2467,Administrative and Foreign Service,4148,978,3170,0,4148
2467,Executive Group,50,7,43,0,50
2467,Operational,414,55,359,0,414
2467,Other,129,14,115,0,129
2467,Scientific and Professional,733,140,593,0,733
2467,Technical,348,65,283,0,348
2468,Administrative Support,205,38,167,0,205
2468,Administrative and Foreign Service,382,92,290,0,382
2468,Operational,39,1,38,1,38
2468,Other,2,0,2,0,2
2468,Scientific and Professional,29,0,29,0,29
2468,Technical,57,2,55,0,57
2469,Administrative Support,78,66,12,0,78
2469,Administrative and Foreign Service,272,174,98,0,272
2469,Executive Group,2,2,0,0,2
2469,Operational,21,14,7,0,21
2469,Other,6,6,0,0,6
2469,Scientific and Professional,50,20,30,0,50
2469,Technical,33,22,11,0,33
2470,Administrative Support,227,28,199,0,227
2470,Administrative and Foreign Service,492,27,465,0,492
2470,Executive Group,4,0,4,0,4
2470,Operational,50,7,43,0,50
2470,Other,25,1,24,0,25
2470,Scientific and Professional,108,7,101,0,108
2470,Technical,62,6,56,0,62
2471,Administrative Support,1465,549,916,0,1465
2471,Administrative and Foreign Service,3182,1097,2085,27,3155
2471,Executive Group,73,16,57,0,73
2471,Operational,329,76,253,25,304
2471,Other,109,46,63,0,109
2471,Scientific and Professional,599,243,356,0,599
2471,Technical,366,128,238,0,366
2472,Administrative Support,863,105,758,0,863
2472,Administrative and Foreign Service,1582,154,1428,0,1582
2472,Executive Group,11,1,10,0,11
2472,Operational,181,14,167,0,181
2472,Other,31,0,31,0,31
2472,Scientific and Professional,296,37,259,0,296
2472,Technical,120,15,105,0,120
2473,Administrative Support,1156,142,1014,0,1156
2473,Administrative and Foreign Service,2817,236,2581,0,2817
2473,Executive Group,27,6,21,0,27
2473,Operational,495,42,453,2,493
2473,Other,64,2,62,0,64
2473,Scientific and Professional,436,45,391,0,436
2473,Technical,252,22,230,0,252
2474,Administrative Support,311,36,275,0,311
2474,Administrative and Foreign Service,506,53,453,0,506
2474,Executive Group,4,3,1,0,4
2474,Operational,153,1,152,0,153
2474,Other,8,2,6,0,8
2474,Scientific and Professional,47,2,45,0,47
2474,Technical,57,2,55,0,57
2475,Administrative Support,680,43,637,0,680
2475,Administrative and Foreign Service,1216,84,1132,0,1216
2475,Executive Group,15,0,15,0,15
2475,Operational,313,8,305,0,313
2475,Other,48,2,46,0,48
2475,Scientific and Professional,212,11,201,0,212
2475,Technical,115,4,111,0,115
2476,Administrative Support,131,36,95,0,131
2476,Administrative and Foreign Service,249,43,206,0,249
2476,Executive Group,10,7,3,0,10
2476,Operational,80,9,71,0,80
2476,Other,3,2,1,0,3
2476,Scientific and Professional,60,32,28,0,60
2476,Technical,29,9,20,0,29
2477,Administrative Support,136,7,129,0,136
2477,Administrative and Foreign Service,375,36,339,0,375
2477,Executive Group,2,0,2,0,2
2477,Operational,73,9,64,0,73
2477,Other,32,26,6,0,32
2477,Scientific and Professional,92,7,85,0,92
2477,Technical,31,3,28,0,31
2478,Administrative Support,166,26,140,0,166
2478,Administrative and Foreign Service,360,58,302,0,360
2478,Executive Group,5,0,5,0,5
2478,Operational,145,7,138,0,145
2478,Other,6,1,5,0,6
2478,Scientific and Professional,86,30,56,0,86
2478,Technical,50,12,38,0,50
2479,Administrative Support,122,2,120,0,122
2479,Administrative and Foreign Service,285,9,276,0,285
2479,Executive Group,1,0,1,0,1
2479,Operational,205,0,205,0,205
2479,Other,3,0,3,0,3
2479,Scientific and Professional,26,0,26,0,26
2479,Technical,24,1,23,0,24
2480,Administrative Support,660,48,612,0,660
2480,Administrative and Foreign Service,1390,217,1173,0,1390
2480,Executive Group,15,1,14,0,15
2480,Operational,30,2,28,0,30
2480,Other,23,2,21,0,23
2480,Scientific and Professional,186,17,169,0,186
2480,Technical,48,3,45,0,48
2481,Administrative Support,41157,8502,32655,2502,38655
2481,Administrative and Foreign Service,140827,26257,114570,15267,125560
2481,Executive Group,4060,625,3435,697,3363
2481,Operational,1606,327,1279,18,1588
2481,Other,2484,471,2013,2,2482
2481,Scientific and Professional,29649,6967,22682,2567,27082
2481,Technical,3210,790,2420,109,3101
2482,Administrative Support,3887,841,3046,0,3887
2482,Administrative and Foreign Service,15072,3084,11988,0,15072
2482,Executive Group,862,301,561,0,862
2482,Operational,195,57,138,0,195
2482,Other,244,81,163,0,244
2482,Scientific and Professional,2123,863,1260,0,2123
2482,Technical,360,115,245,0,360
2483,Administrative Support,438,184,254,0,438
2483,Administrative and Foreign Service,1054,321,733,0,1054
2483,Executive Group,6,1,5,0,6
2483,Operational,31,16,15,0,31
2483,Other,15,7,8,0,15
2483,Scientific and Professional,125,35,90,0,125
2483,Technical,23,5,18,0,23
2484,Administrative Support,383,192,191,0,383
2484,Administrative and Foreign Service,689,360,329,0,689
2484,Executive Group,9,0,9,0,9
2484,Operational,29,22,7,0,29
2484,Other,6,6,0,0,6
2484,Scientific and Professional,65,45,20,0,65
2484,Technical,18,9,9,0,18
2485,Administrative Support,27,2,25,0,27
2485,Administrative and Foreign Service,66,14,52,0,66
2485,Operational,10,2,8,0,10
2485,Other,11,0,11,0,11
2485,Scientific and Professional,26,4,22,0,26
2485,Technical,8,1,7,0,8
2486,Administrative Support,190,1,189,0,190
2486,Administrative and Foreign Service,273,6,267,12,261
2486,Executive Group,3,0,3,0,3
2486,Operational,8,0,8,0,8
2486,Other,1,0,1,0,1
2486,Scientific and Professional,74,9,65,0,74
2486,Technical,18,2,16,0,18
2487,Administrative Support,15,0,15,0,15
2487,Administrative and Foreign Service,53,13,40,0,53
2487,Executive Group,1,0,1,0,1
2487,Operational,4,0,4,0,4
2487,Other,1,0,1,0,1
2487,Scientific and Professional,36,26,10,0,36
2487,Technical,3,0,3,0,3
2488,Administrative Support,22,2,20,0,22
2488,Administrative and Foreign Service,81,3,78,0,81
2488,Operational,23,0,23,0,23
2488,Other,2,0,2,0,2
2488,Scientific and Professional,27,1,26,0,27
2488,Technical,7,0,7,0,7
2489,Administrative Support,77,0,77,0,77
2489,Administrative and Foreign Service,231,2,229,0,231
2489,Executive Group,1,0,1,0,1
2489,Operational,8,0,8,0,8
2489,Other,1,0,1,0,1
2489,Scientific and Professional,38,1,37,0,38
2489,Technical,29,2,27,0,29
2490,Administrative Support,22,0,22,0,22
2490,Administrative and Foreign Service,35,0,35,0,35
2490,Operational,7,0,7,0,7
2490,Other,1,0,1,0,1
2490,Scientific and Professional,2,1,1,0,2
2490,Technical,7,0,7,0,7
2491,Administrative Support,60,0,60,0,60
2491,Administrative and Foreign Service,107,0,107,0,107
2491,Operational,37,0,37,0,37
2491,Other,5,0,5,0,5
2491,Scientific and Professional,22,0,22,0,22
2491,Technical,32,0,32,0,32
2492,Administrative Support,9,0,9,0,9
2492,Administrative and Foreign Service,30,0,30,0,30
2492,Operational,24,0,24,0,24
2492,Scientific and Professional,18,0,18,0,18
2492,Technical,40,0,40,0,40
2493,Administrative Support,207,0,207,0,207
2493,Administrative and Foreign Service,300,1,299,0,300
2493,Executive Group,2,0,2,0,2
2493,Operational,78,3,75,0,78
2493,Other,4,0,4,0,4
2493,Scientific and Professional,51,0,51,0,51
2493,Technical,42,0,42,0,42
2494,Administrative Support,2318,81,2237,0,2318
2494,Administrative and Foreign Service,3118,95,3023,16,3102
2494,Executive Group,9,0,9,0,9
2494,Operational,595,17,578,83,512
2494,Other,80,0,80,0,80
2494,Scientific and Professional,310,31,279,0,310
2494,Technical,283,5,278,33,250
2495,Administrative Support,8,0,8,0,8
2495,Administrative and Foreign Service,56,5,51,0,56
2495,Operational,43,0,43,0,43
2495,Other,2,0,2,0,2
2495,Scientific and Professional,41,0,41,0,41
2495,Technical,74,3,71,1,73
2496,Administrative Support,99,2,97,0,99
2496,Administrative and Foreign Service,168,7,161,0,168
2496,Operational,77,8,69,0,77
2496,Other,21,0,21,0,21
2496,Scientific and Professional,96,2,94,0,96
2496,Technical,99,1,98,27,72
2497,Administrative Support,400,10,390,0,400
2497,Administrative and Foreign Service,533,12,521,16,517
2497,Executive Group,5,1,4,0,5
2497,Operational,510,9,501,59,451
2497,Other,4,0,4,0,4
2497,Scientific and Professional,93,0,93,0,93
2497,Technical,61,2,59,0,61
2498,Administrative Support,33,5,28,0,33
2498,Administrative and Foreign Service,69,20,49,0,69
2498,Executive Group,1,0,1,0,1
2498,Operational,78,14,64,0,78
2498,Other,3,0,3,0,3
2498,Scientific and Professional,8,2,6,0,8
2498,Technical,42,11,31,0,42
2499,Administrative Support,57,38,19,0,57
2499,Administrative and Foreign Service,259,187,72,0,259
2499,Executive Group,1,0,1,0,1
2499,Operational,11,1,10,0,11
2499,Other,3,1,2,0,3
2499,Scientific and Professional,58,2,56,0,58
2499,Technical,21,9,12,0,21
3500,Administrative Support,268,224,44,0,268
3500,Administrative and Foreign Service,1400,927,473,0,1400
3500,Executive Group,138,107,31,0,138
3500,Operational,13,10,3,0,13
3500,Other,100,89,11,0,100
3500,Scientific and Professional,641,443,198,0,641
3500,Technical,72,61,11,0,72
3501,Administrative Support,2197,1770,427,13,2184
3501,Administrative and Foreign Service,6455,4895,1560,12,6443
3501,Executive Group,69,49,20,0,69
3501,Operational,204,182,22,0,204
3501,Other,203,181,22,0,203
3501,Scientific and Professional,818,677,141,3,815
3501,Technical,359,290,69,3,356
3502,Administrative Support,4421,2301,2120,0,4421
3502,Administrative and Foreign Service,16506,6607,9899,0,16506
3502,Executive Group,405,162,243,0,405
3502,Operational,334,129,205,0,334
3502,Other,333,196,137,0,333
3502,Scientific and Professional,2280,1297,983,0,2280
3502,Technical,594,307,287,0,594
3506,Administrative Support,89143,72495,16648,6276,82867
3506,Administrative and Foreign Service,301792,232328,69464,48620,253172
3506,Executive Group,15520,11726,3794,4087,11433
3506,Operational,3822,3074,748,449,3373
3506,Other,9426,7719,1707,709,8717
3506,Scientific and Professional,117081,99588,17493,21484,95597
3506,Technical,11953,10178,1775,2079,9874
3507,Administrative Support,1317,1204,113,0,1317
3507,Administrative and Foreign Service,3825,3440,385,0,3825
3507,Executive Group,107,95,12,0,107
3507,Operational,696,677,19,27,669
3507,Other,459,454,5,0,459
3507,Scientific and Professional,937,901,36,0,937
3507,Technical,524,488,36,2,522
3509,Administrative Support,1304,1128,176,0,1304
3509,Administrative and Foreign Service,4201,3658,543,0,4201
3509,Executive Group,125,105,20,0,125
3509,Operational,201,192,9,0,201
3509,Other,336,326,10,0,336
3509,Scientific and Professional,1064,993,71,0,1064
3509,Technical,267,246,21,0,267
3510,Administrative Support,3178,2884,294,1,3177
3510,Administrative and Foreign Service,6016,5426,590,202,5814
3510,Executive Group,84,66,18,0,84
3510,Operational,1520,1459,61,72,1448
3510,Other,373,361,12,0,373
3510,Scientific and Professional,1939,1786,153,67,1872
3510,Technical,495,446,49,15,480
3511,Administrative Support,694,639,55,0,694
3511,Administrative and Foreign Service,1216,1151,65,0,1216
3511,Executive Group,12,11,1,0,12
3511,Operational,421,413,8,0,421
3511,Other,55,55,0,0,55
3511,Scientific and Professional,176,168,8,0,176
3511,Technical,108,105,3,0,108
3512,Administrative Support,1745,1559,186,22,1723
3512,Administrative and Foreign Service,2882,2613,269,10,2872
3512,Executive Group,18,15,3,0,18
3512,Operational,868,827,41,41,827
3512,Other,291,278,13,0,291
3512,Scientific and Professional,345,329,16,8,337
3512,Technical,215,206,9,12,203
3513,Administrative Support,141,137,4,0,141
3513,Administrative and Foreign Service,304,301,3,0,304
3513,Executive Group,14,14,0,0,14
3513,Operational,69,69,0,0,69
3513,Other,16,16,0,0,16
3513,Scientific and Professional,84,84,0,0,84
3513,Technical,30,30,0,0,30
3514,Administrative Support,627,604,23,0,627
3514,Administrative and Foreign Service,1000,971,29,3,997
3514,Executive Group,1,1,0,0,1
3514,Operational,276,271,5,6,270
3514,Other,223,223,0,0,223
3514,Scientific and Professional,214,208,6,0,214
3514,Technical,107,105,2,0,107
3515,Administrative Support,767,759,8,0,767
3515,Administrative and Foreign Service,1247,1214,33,0,1247
3515,Executive Group,11,10,1,0,11
3515,Operational,287,283,4,0,287
3515,Other,1048,1040,8,0,1048
3515,Scientific and Professional,453,449,4,0,453
3515,Technical,265,259,6,0,265
3516,Administrative Support,149,141,8,0,149
3516,Administrative and Foreign Service,300,297,3,0,300
3516,Executive Group,2,2,0,0,2
3516,Operational,95,95,0,0,95
3516,Other,338,336,2,0,338
3516,Scientific and Professional,75,75,0,0,75
3516,Technical,77,77,0,0,77
3518,Administrative Support,4576,4501,75,3,4573
3518,Administrative and Foreign Service,9268,8955,313,0,9268
3518,Executive Group,80,75,5,0,80
3518,Operational,468,459,9,0,468
3518,Other,951,925,26,0,951
3518,Scientific and Professional,2176,2093,83,0,2176
3518,Technical,869,858,11,0,869
3519,Administrative Support,6476,6388,88,37,6439
3519,Administrative and Foreign Service,15165,14873,292,43,15122
3519,Executive Group,208,199,9,0,208
3519,Operational,337,333,4,4,333
3519,Other,1677,1666,11,0,1677
3519,Scientific and Professional,5169,5076,93,4,5165
3519,Technical,1237,1214,23,10,1227
3520,Administrative Support,26828,25805,1023,420,26408
3520,Administrative and Foreign Service,52680,50115,2565,1826,50854
3520,Executive Group,534,521,13,4,530
3520,Operational,1384,1352,32,8,1376
3520,Other,4788,4608,180,2121,2667
3520,Scientific and Professional,16935,16231,704,572,16363
3520,Technical,3637,3538,99,307,3330
3521,Administrative Support,13327,13038,289,1,13326
3521,Administrative and Foreign Service,27291,26650,641,116,27175
3521,Executive Group,219,212,7,0,219
3521,Operational,657,632,25,0,657
3521,Other,1797,1757,40,0,1797
3521,Scientific and Professional,7490,7327,163,7,7483
3521,Technical,2165,2130,35,0,2165
3522,Administrative Support,118,116,2,0,118
3522,Administrative and Foreign Service,253,244,9,0,253
3522,Executive Group,5,5,0,0,5
3522,Operational,47,47,0,0,47
3522,Other,22,22,0,0,22
3522,Scientific and Professional,78,78,0,0,78
3522,Technical,102,101,1,0,102
3523,Administrative Support,1203,1158,45,5,1198
3523,Administrative and Foreign Service,2644,2573,71,4,2640
3523,Executive Group,36,34,2,0,36
3523,Operational,201,199,2,0,201
3523,Other,278,277,1,0,278
3523,Scientific and Professional,1972,1926,46,59,1913
3523,Technical,918,907,11,37,881
3524,Administrative Support,2502,2438,64,56,2446
3524,Administrative and Foreign Service,5890,5745,145,63,5827
3524,Executive Group,130,121,9,1,129
3524,Operational,201,197,4,1,200
3524,Other,734,708,26,0,734
3524,Scientific and Professional,2128,2056,72,20,2108
3524,Technical,699,686,13,3,696
3525,Administrative Support,3354,3267,87,0,3354
3525,Administrative and Foreign Service,5206,5024,182,0,5206
3525,Executive Group,59,51,8,0,59
3525,Operational,383,381,2,0,383
3525,Other,262,254,8,0,262
3525,Scientific and Professional,2100,2012,88,0,2100
3525,Technical,788,767,21,0,788
3526,Administrative Support,2896,2794,102,0,2896
3526,Administrative and Foreign Service,5162,4964,198,5,5157
3526,Executive Group,48,47,1,0,48
3526,Operational,512,508,4,0,512
3526,Other,230,227,3,0,230
3526,Scientific and Professional,1090,1048,42,0,1090
3526,Technical,662,651,11,14,648
3528,Administrative Support,317,310,7,0,317
3528,Administrative and Foreign Service,580,574,6,0,580
3528,Executive Group,2,2,0,0,2
3528,Operational,64,64,0,0,64
3528,Other,39,39,0,0,39
3528,Scientific and Professional,190,188,2,3,187
3528,Technical,124,124,0,9,115
3529,Administrative Support,307,304,3,0,307
3529,Administrative and Foreign Service,777,773,4,11,766
3529,Executive Group,10,10,0,0,10
3529,Operational,80,80,0,0,80
3529,Other,69,69,0,0,69
3529,Scientific and Professional,311,311,0,0,311
3529,Technical,129,129,0,0,129
3530,Administrative Support,2543,2474,69,15,2528
3530,Administrative and Foreign Service,4824,4670,154,69,4755
3530,Executive Group,94,87,7,13,81
3530,Operational,344,334,10,0,344
3530,Other,377,371,6,0,377
3530,Scientific and Professional,2458,2368,90,6,2452
3530,Technical,752,738,14,0,752
3531,Administrative Support,117,116,1,0,117
3531,Administrative and Foreign Service,202,202,0,0,202
3531,Executive Group,2,2,0,0,2
3531,Operational,28,27,1,0,28
3531,Other,40,40,0,0,40
3531,Scientific and Professional,76,75,1,0,76
3531,Technical,31,31,0,0,31
3532,Administrative Support,275,272,3,0,275
3532,Administrative and Foreign Service,484,481,3,0,484
3532,Executive Group,5,5,0,0,5
3532,Operational,35,35,0,0,35
3532,Other,36,36,0,0,36
3532,Scientific and Professional,185,185,0,0,185
3532,Technical,127,125,2,0,127
3534,Administrative Support,299,296,3,0,299
3534,Administrative and Foreign Service,464,462,2,0,464
3534,Executive Group,1,1,0,0,1
3534,Operational,37,37,0,0,37
3534,Other,22,22,0,0,22
3534,Scientific and Professional,71,71,0,0,71
3534,Technical,70,70,0,0,70
3536,Administrative Support,707,702,5,0,707
3536,Administrative and Foreign Service,1047,1038,9,1,1046
3536,Executive Group,7,7,0,0,7
3536,Operational,109,109,0,0,109
3536,Other,28,28,0,0,28
3536,Scientific and Professional,262,257,5,1,261
3536,Technical,123,122,1,0,123
3537,Administrative Support,3403,3318,85,5,3398
3537,Administrative and Foreign Service,6244,6101,143,84,6160
3537,Executive Group,38,28,10,7,31
3537,Operational,699,680,19,0,699
3537,Other,175,169,6,0,175
3537,Scientific and Professional,1287,1257,30,7,1280
3537,Technical,694,673,21,4,690
3538,Administrative Support,1190,1172,18,163,1027
3538,Administrative and Foreign Service,1536,1497,39,15,1521
3538,Executive Group,23,23,0,6,17
3538,Operational,394,392,2,0,394
3538,Other,50,49,1,0,50
3538,Scientific and Professional,317,299,18,8,309
3538,Technical,465,460,5,22,443
3539,Administrative Support,3578,3414,164,63,3515
3539,Administrative and Foreign Service,6459,6171,288,97,6362
3539,Executive Group,48,48,0,0,48
3539,Operational,231,227,4,5,226
3539,Other,176,168,8,0,176
3539,Scientific and Professional,2142,2064,78,30,2112
3539,Technical,862,849,13,90,772
3540,Administrative Support,34,34,0,0,34
3540,Administrative and Foreign Service,96,96,0,0,96
3540,Executive Group,3,3,0,0,3
3540,Operational,32,32,0,0,32
3540,Other,18,18,0,0,18
3540,Scientific and Professional,43,43,0,0,43
3540,Technical,31,31,0,0,31
3541,Administrative Support,141,141,0,0,141
3541,Administrative and Foreign Service,283,272,11,0,283
3541,Executive Group,3,2,1,0,3
3541,Operational,159,159,0,0,159
3541,Other,11,10,1,0,11
3541,Scientific and Professional,90,90,0,0,90
3541,Technical,113,113,0,0,113
3542,Administrative Support,228,218,10,0,228
3542,Administrative and Foreign Service,359,344,15,0,359
3542,Executive Group,3,3,0,0,3
3542,Operational,104,103,1,0,104
3542,Other,49,49,0,0,49
3542,Scientific and Professional,126,125,1,0,126
3542,Technical,104,104,0,0,104
3543,Administrative Support,2361,2191,170,14,2347
3543,Administrative and Foreign Service,4384,4126,258,50,4334
3543,Executive Group,57,54,3,0,57
3543,Operational,902,863,39,52,850
3543,Other,312,299,13,0,312
3543,Scientific and Professional,1039,985,54,4,1035
3543,Technical,546,528,18,15,531
3544,Administrative Support,253,248,5,0,253
3544,Administrative and Foreign Service,360,353,7,7,353
3544,Executive Group,3,3,0,0,3
3544,Operational,227,226,1,6,221
3544,Other,39,39,0,0,39
3544,Scientific and Professional,97,96,1,0,97
3544,Technical,65,62,3,0,65
3546,Administrative Support,8,8,0,0,8
3546,Administrative and Foreign Service,21,20,1,0,21
3546,Operational,15,15,0,0,15
3546,Other,7,7,0,0,7
3546,Scientific and Professional,16,16,0,0,16
3546,Technical,15,15,0,0,15
3547,Administrative Support,2089,1886,203,7,2082
3547,Administrative and Foreign Service,3631,3155,476,71,3560
3547,Executive Group,27,22,5,0,27
3547,Operational,765,721,44,26,739
3547,Other,93,75,18,0,93
3547,Scientific and Professional,834,801,33,0,834
3547,Technical,485,458,27,2,483
3548,Administrative Support,698,575,123,67,631
3548,Administrative and Foreign Service,1141,911,230,19,1122
3548,Executive Group,6,2,4,0,6
3548,Operational,152,137,15,9,143
3548,Other,46,46,0,0,46
3548,Scientific and Professional,173,147,26,0,173
3548,Technical,78,61,17,1,77
3549,Administrative Support,223,217,6,0,223
3549,Administrative and Foreign Service,463,445,18,0,463
3549,Executive Group,1,1,0,0,1
3549,Operational,133,131,2,7,126
3549,Other,13,13,0,0,13
3549,Scientific and Professional,46,45,1,0,46
3549,Technical,83,83,0,0,83
3551,Administrative Support,14,10,4,0,14
3551,Administrative and Foreign Service,36,29,7,0,36
3551,Executive Group,1,1,0,0,1
3551,Operational,4,4,0,0,4
3551,Other,9,9,0,0,9
3551,Scientific and Professional,18,17,1,0,18
3551,Technical,10,10,0,0,10
3552,Administrative Support,49,37,12,0,49
3552,Administrative and Foreign Service,206,158,48,4,202
3552,Executive Group,1,1,0,0,1
3552,Operational,8,7,1,0,8
3552,Other,3,3,0,0,3
3552,Scientific and Professional,14,9,5,0,14
3552,Technical,20,19,1,0,20
3553,Administrative Support,1332,1015,317,0,1332
3553,Administrative and Foreign Service,4171,2994,1177,0,4171
3553,Executive Group,27,14,13,0,27
3553,Operational,160,135,25,0,160
3553,Other,165,109,56,0,165
3553,Scientific and Professional,518,447,71,0,518
3553,Technical,186,156,30,0,186
3554,Administrative Support,436,377,59,35,401
3554,Administrative and Foreign Service,447,374,73,6,441
3554,Executive Group,1,1,0,0,1
3554,Operational,13,10,3,0,13
3554,Other,15,13,2,0,15
3554,Scientific and Professional,24,10,14,0,24
3554,Technical,13,12,1,0,13
3556,Administrative Support,545,393,152,5,540
3556,Administrative and Foreign Service,718,479,239,0,718
3556,Executive Group,4,1,3,0,4
3556,Operational,34,20,14,0,34
3556,Other,26,18,8,0,26
3556,Scientific and Professional,118,75,43,0,118
3556,Technical,37,29,8,0,37
3557,Administrative Support,457,447,10,33,424
3557,Administrative and Foreign Service,1118,1075,43,10,1108
3557,Executive Group,22,22,0,0,22
3557,Operational,85,84,1,4,81
3557,Other,214,212,2,0,214
3557,Scientific and Professional,298,292,6,24,274
3557,Technical,376,370,6,34,342
3558,Administrative Support,670,645,25,0,670
3558,Administrative and Foreign Service,1512,1418,94,2,1510
3558,Executive Group,28,20,8,0,28
3558,Operational,221,211,10,0,221
3558,Other,187,181,6,0,187
3558,Scientific and Professional,457,426,31,2,455
3558,Technical,318,307,11,2,316
3559,Administrative Support,54,54,0,0,54
3559,Administrative and Foreign Service,111,109,2,0,111
3559,Operational,8,8,0,0,8
3559,Other,8,8,0,0,8
3559,Scientific and Professional,8,8,0,0,8
3559,Technical,12,12,0,0,12
3560,Administrative Support,102,102,0,27,75
3560,Administrative and Foreign Service,233,233,0,9,224
3560,Executive Group,5,5,0,0,5
3560,Operational,36,36,0,11,25
3560,Other,16,16,0,0,16
3560,Scientific and Professional,87,86,1,0,87
3560,Technical,60,60,0,3,57
4600,Administrative Support,31,31,0,0,31
4600,Administrative and Foreign Service,86,85,1,0,86
4600,Executive Group,29,29,0,0,29
4600,Operational,4,4,0,0,4
4600,Other,1,1,0,0,1
4600,Scientific and Professional,21,21,0,0,21
4600,Technical,17,17,0,0,17
4601,Administrative Support,38,34,4,0,38
4601,Administrative and Foreign Service,75,72,3,0,75
4601,Operational,23,23,0,0,23
4601,Other,14,14,0,0,14
4601,Scientific and Professional,27,27,0,0,27
4601,Technical,26,26,0,0,26
4602,Administrative Support,541,466,75,0,541
4602,Administrative and Foreign Service,1070,903,167,2,1068
4602,Executive Group,24,12,12,0,24
4602,Operational,102,95,7,0,102
4602,Other,42,36,6,0,42
4602,Scientific and Professional,158,125,33,0,158
4602,Technical,201,181,20,0,201
4603,Administrative Support,122,120,2,15,107
4603,Administrative and Foreign Service,220,219,1,0,220
4603,Executive Group,2,2,0,0,2
4603,Operational,45,45,0,20,25
4603,Other,4,4,0,0,4
4603,Scientific and Professional,77,76,1,2,75
4603,Technical,107,104,3,0,107
4604,Administrative Support,23,23,0,0,23
4604,Administrative and Foreign Service,18,17,1,0,18
4604,Operational,23,22,1,0,23
4604,Other,3,3,0,0,3
4604,Technical,9,9,0,0,9
4605,Administrative Support,39,39,0,0,39
4605,Administrative and Foreign Service,61,61,0,0,61
4605,Operational,14,14,0,0,14
4605,Other,8,8,0,0,8
4605,Scientific and Professional,12,12,0,0,12
4605,Technical,20,20,0,0,20
4606,Administrative Support,27,24,3,0,27
4606,Administrative and Foreign Service,46,45,1,0,46
4606,Operational,13,13,0,0,13
4606,Other,2,2,0,0,2
4606,Scientific and Professional,5,5,0,0,5
4606,Technical,19,19,0,0,19
4607,Administrative Support,980,900,80,30,950
4607,Administrative and Foreign Service,969,897,72,16,953
4607,Executive Group,16,16,0,0,16
4607,Operational,152,143,9,5,147
4607,Other,87,83,4,0,87
4607,Scientific and Professional,369,365,4,9,360
4607,Technical,287,280,7,17,270
4608,Administrative Support,4,4,0,0,4
4608,Administrative and Foreign Service,6,6,0,0,6
4608,Operational,3,3,0,0,3
4608,Other,8,8,0,0,8
4608,Scientific and Professional,4,4,0,0,4
